ROI,Tissue,beta_harmonized,beta_unharmonized,beta_abs_ratio,beta_difference,sign_match,p_harmonized,p_unharmonized,d_harmonized,d_unharmonized,d_abs_ratio,p_fdr_tissue_harmonized,sig_star_tissue_harmonized
Accumbens,subcortical,-4.410044585e-07,-1.85752873642e-06,0.237414608913,1.41652427792e-06,True,0.69935791661,0.0982169802942,-0.120427245864,-0.515650699707,0.233544230489,0.69935791661,n.s.
Amygdala,subcortical,-9.28075875886e-06,-5.15081342769e-06,1.80180448955,-4.12994533117e-06,True,0.0001671318468,0.0341387852589,-1.17396421289,-0.660708680755,1.77682577373,0.0010027910808,**
Caudal anterior cingulate,cortical,-0.00305078748033,0.00333415863965,0.915009695114,-0.00638494611997,False,0.406204966167,0.423832675381,-0.259013956568,0.249382879063,1.03861964198,0.60210127167,n.s.
Caudate,subcortical,-1.34106298152e-05,-1.49617377222e-05,0.896328358655,1.55110790703e-06,True,0.00033842580019,1.49769989352e-06,-1.1178985497,-1.50084579025,0.744845710973,0.00101527740057,**
Entorhinal cortex,cortical,-0.00100108848735,0.00317873796781,0.314932686334,-0.00417982645516,False,0.890517136064,0.629085996357,-0.0429176488799,0.150611009763,0.284956916147,0.890517136064,n.s.
Hippocampus,subcortical,-1.02655911394e-05,1.29488315499e-06,7.92781271405,-1.15604742944e-05,False,0.00728050645003,0.819794911814,-0.837093685846,0.071045947323,11.78242697,0.010920759675,*
Lingual gyrus,cortical,-0.00462506197543,-0.0051351779089,0.900662461452,0.000510115933479,True,0.124808346217,0.0651605551286,-0.47844829075,-0.574888600258,0.832245222005,0.249616692433,n.s.
Parahippocampal gyrus,cortical,-0.00902787108766,-0.00818604491026,1.10283674065,-0.000841826177398,True,0.078422816724,0.0892838904899,-0.548811009895,-0.52989971136,1.03568844846,0.249616692433,n.s.
Precuneus,cortical,-0.00585179123781,-0.00463427110688,1.262720955,-0.00121752013093,True,0.0863649281341,0.109874105335,-0.534714383621,-0.498599784914,1.07243203828,0.249616692433,n.s.
Putamen,subcortical,-2.12842130738e-05,-2.30572101956e-05,0.923104438623,1.77299712177e-06,True,0.0014954471821,7.94373750829e-05,-0.990416485816,-1.23077889693,0.80470707475,0.00299089436421,**
Superior frontal,cortical,-0.00242039869665,0.00133147297012,1.81783539807,-0.00375187166677,False,0.501751059725,0.700118921791,-0.209424355284,0.120094357358,1.74383176605,0.60210127167,n.s.
Thalamus,subcortical,4.90231703087e-06,1.59802312134e-05,0.306773848601,-1.10779141825e-05,True,0.51098685456,0.0316070751235,0.205005945709,0.670341611573,0.305823094031,0.613184225472,n.s.
