ROI,Tissue,n_obs,n_subjects,n_subjects_pd,n_subjects_co,status,converged,intercept,intercept_se,group_main_coef,group_main_se,group_main_p,time_main_coef,time_main_se,time_main_p,interaction_coef,interaction_se,interaction_z,interaction_p,interaction_ci_low,interaction_ci_high,p_fdr_tissue,sig_star_tissue,predicted_diff_5y_pct,predicted_diff_5y_ci_low,predicted_diff_5y_ci_high,predicted_diff_3y_pct,predicted_diff_3y_ci_low,predicted_diff_3y_ci_high,d_adj_5y,d_adj_5y_ci_low,d_adj_5y_ci_high,age_coef,age_se,sex_coef,sex_se,residual_var,random_intercept_var,df_resid,mean_bl_control,mean_bl_pd
Caudal anterior cingulate,cortical,300,100,67,33,ok,True,2.54600442388,0.107843289244,0.077236655748,0.0331028049602,0.019635763135,0.00219667748957,0.00309271578177,0.477533862709,-0.00305078748033,0.00367303411129,-0.830590565698,0.406204966167,-0.0102498020524,0.00414822709179,0.60210127167,n.s.,-0.659241097719,-2.21489632051,0.896414125071,-0.395544658631,-1.3289377923,0.537848475043,-0.259013956568,-0.870226479126,0.35219856599,-0.0031328408678,0.00159896817764,-0.0757375172993,0.0307270541544,0.00345061954394,0.01992893436,294,2.31386323675,2.36795895819
Entorhinal cortex,cortical,300,100,67,33,ok,True,3.68483051678,0.175005864923,-0.115845753646,0.0546659316418,0.0340771051742,-0.000710743923032,0.00612331042899,0.907595604465,-0.00100108848735,0.00727271627963,-0.137649875076,0.890517136064,-0.0152553504652,0.0132531734905,0.890517136064,n.s.,-0.158585523945,-2.41668874969,2.0995177018,-0.0951513143671,-1.45001324982,1.25971062108,-0.0429176488799,-0.65402312034,0.56818782258,-0.00893397792266,0.00259184773896,0.0766683394045,0.0498069970617,0.0135329534515,0.0508739403988,294,3.15630475736,3.03739412166
Lingual gyrus,cortical,300,100,67,33,ok,True,1.95042988454,0.0581548345629,0.0170944812008,0.0186854079822,0.360266568543,-0.000548563385975,0.00253680651681,0.828799340596,-0.00462506197543,0.00301326561665,-1.53490019263,0.124808346217,-0.0105309540599,0.00128083010906,0.249616692433,n.s.,-1.2138385068,-2.76385686288,0.336179849285,-0.72830310408,-1.65831411773,0.201707909571,-0.47844829075,-1.08940570308,0.132509121579,-0.00101096439531,0.000859632816263,0.0402789121947,0.0165193694356,0.00232425940639,0.00531777363184,294,1.90513892479,1.92848537204
Parahippocampal gyrus,cortical,300,100,67,33,ok,True,3.00958005585,0.147932477514,-0.0220648662883,0.0454686978175,0.627480601168,0.00467144440842,0.00431925718511,0.279457493057,-0.00902787108766,0.00512973021398,-1.75991147898,0.078422816724,-0.0190819575575,0.00102621538215,0.249616692433,n.s.,-1.80523514544,-3.81571176731,0.205241476436,-1.08314108726,-2.28942706039,0.123144885862,-0.548811009895,-1.16001764855,0.0623956287578,-0.00763479548558,0.00219317660882,-0.0465992443328,0.0421458379756,0.00673045718936,0.0374135662142,294,2.50046956776,2.46155433422
Precuneus,cortical,300,100,67,33,ok,True,2.57659359782,0.0794646470825,-0.0110672200984,0.024909902317,0.656832941866,-0.00426041087526,0.00287308220229,0.138108632483,-0.00585179123781,0.0034123369568,-1.71489255366,0.0863649281341,-0.0125398487763,0.000836266300636,0.249616692433,n.s.,-1.2805005616,-2.74402146579,0.183020342595,-0.768300336958,-1.64641287947,0.109812205557,-0.534714383621,-1.14585482484,0.0764260576026,-0.00462443554878,0.00117660192762,0.0032778584148,0.0226105111805,0.00297888278189,0.0104208736809,294,2.28496238632,2.2663339567
Superior frontal,cortical,300,100,67,33,ok,True,2.9710107759,0.0793657021515,0.00601025241339,0.0250409469465,0.81031709469,-0.012608712397,0.00303365819122,3.23480905877e-05,-0.00242039869665,0.00360319326021,-0.671737129224,0.501751059725,-0.00948252771599,0.00464173032269,0.60210127167,n.s.,-0.473619676544,-1.85555097919,0.908311626106,-0.284171805926,-1.11333058752,0.544986975663,-0.209424355284,-0.820484424021,0.401635713453,-0.00614368438744,0.00117462854742,-0.0684549353004,0.0225725845155,0.00332230075851,0.0102681401971,294,2.55521340911,2.52904868255
Accumbens,subcortical,300,100,67,33,ok,True,0.000575802922522,3.18778957553e-05,-1.01510682073e-05,9.82277436857e-06,0.301406594706,-2.24629354466e-06,9.61524945325e-07,0.0194819598558,-4.410044585e-07,1.14194431971e-06,-0.386187356851,0.69935791661,-2.67917419749e-06,1.79716528049e-06,0.69935791661,n.s.,-0.656951653736,-3.99114998644,2.67724667897,-0.394170992242,-2.39468999187,1.60634800738,-0.120427245864,-0.731626441556,0.490771949828,-3.73476329194e-06,4.72530593336e-07,-6.62473703965e-06,9.08052558636e-06,3.33546164172e-10,1.72972975656e-09,294,0.000335644530303,0.000318294158209
Amygdala,subcortical,300,100,67,33,ok,True,0.00143855303004,8.80537588187e-05,-4.70450489975e-05,2.6707581057e-05,0.0781560610173,-6.1088432831e-06,2.07615560709e-06,0.00325697684975,-9.28075875886e-06,2.46558058271e-06,-3.7641271285,0.0001671318468,-1.41132079019e-05,-4.44830961577e-06,0.0010027910808,**,-4.34350009497,-6.60518252373,-2.08181766621,-2.60610005698,-3.96310951424,-1.24909059972,-1.17396421289,-1.78525330561,-0.562675120169,-6.12661473018e-06,1.30652831918e-06,3.87552660941e-05,2.51073042822e-05,1.55444997582e-09,1.35556494793e-08,294,0.00106835024242,0.00101840666716
Caudate,subcortical,300,100,67,33,ok,True,0.00214622109595,0.000196746002882,1.22337235063e-05,5.88595409211e-05,0.835349169402,-6.54928307321e-07,3.15093666991e-06,0.835344573973,-1.34106298152e-05,3.74184845749e-06,-3.58395856153,0.00033842580019,-2.07445180275e-05,-6.07674160288e-06,0.00101527740057,**,-2.96627381734,-4.58847356719,-1.34407406749,-1.7797642904,-2.75308414031,-0.806444440493,-1.1178985497,-1.72925638763,-0.506540711768,2.73478720331e-06,2.92173353513e-06,-0.000124386876262,5.61464155004e-05,3.57942331289e-09,6.91878544035e-08,294,0.00226051784848,0.0022541537
Hippocampus,subcortical,300,100,67,33,ok,True,0.00388963642004,0.000182287899105,-8.54893578594e-05,5.46756080864e-05,0.117917650667,-1.91301057044e-05,3.22105567204e-06,2.86626858904e-09,-1.02655911394e-05,3.82511536567e-06,-2.68373373298,0.00728050645003,-1.77626794928e-05,-2.76850278596e-06,0.010920759675,*,-1.94125261196,-3.35899948926,-0.523505734657,-1.16475156717,-2.01539969355,-0.314103440794,-0.837093685846,-1.44844480615,-0.22574256554,-1.83344594715e-05,2.70660484138e-06,-0.000186430644004,5.20123231755e-05,3.74058297452e-09,5.91513134509e-08,294,0.00264406370303,0.00248512525522
Putamen,subcortical,300,100,67,33,ok,True,0.00379922427776,0.000251539526332,3.22031932863e-05,7.61126876934e-05,0.672223115962,-1.52983518519e-06,5.64386699816e-06,0.786343714108,-2.12842130738e-05,6.70249521688e-06,-3.17556557448,0.0014954471821,-3.44208623055e-05,-8.14756384222e-06,0.00299089436421,**,-3.62893168039,-5.86875508405,-1.38910827674,-2.17735900824,-3.52125305043,-0.833464966043,-0.990416485816,-1.60171430558,-0.379118666052,-1.26115142795e-05,3.73285387365e-06,-0.000126747505902,7.1733542374e-05,1.14867977196e-08,1.11054067581e-07,294,0.00293257285455,0.0029287072403
Thalamus,subcortical,300,100,67,33,ok,True,0.00715398135721,0.000277606545256,-0.000122268574345,8.40322065971e-05,0.145663615664,-3.83823485836e-05,6.28030050286e-06,9.86702399806e-10,4.90231703087e-06,7.45824329629e-06,0.657301838533,0.51098685456,-9.71557121779e-06,1.95202052795e-05,0.613184225472,n.s.,0.517440440611,-1.02550863414,2.06038951537,0.310464264367,-0.615305180486,1.23623370922,0.205005945709,-0.406298678795,0.816310570213,-3.68271500796e-05,4.11959269924e-06,-0.000190735802194,7.91654278981e-05,1.42229398029e-08,1.35179838169e-07,294,0.00473708338788,0.00450528827164
