Group_clinical,ROI,Tissue,n_obs,n_subjects,status,converged,intercept,intercept_se,slope,slope_se,slope_z,slope_p,slope_ci_low,slope_ci_high,mean_bl_group,pct_5y,pct_5y_ci_low,pct_5y_ci_high,pct_3y,pct_3y_ci_low,pct_3y_ci_high,p_fdr_tissue,sig_star_tissue,residual_var,random_intercept_var
Control,Caudal anterior cingulate,cortical,99,33,ok,True,2.4635245269,0.194339213466,0.00218135993231,0.00231226163998,0.943388020885,0.345482468171,-0.00235058960489,0.00671330946952,2.31386323675,0.471367515952,-0.507954153194,1.4506891851,0.282820509571,-0.304772491916,0.870413511058,0.518223702256,n.s.,0.00192803582313,0.0197012113771
Control,Entorhinal cortex,cortical,99,33,ok,True,3.47618379947,0.263976968762,-0.000764076925215,0.00573709709919,-0.13318180118,0.894049603178,-0.0120085806154,0.010480426765,3.15630475736,-0.12103978924,-1.90234913337,1.66026955489,-0.0726238735439,-1.14140948002,0.996161732935,0.894049603178,n.s.,0.0118841618084,0.0335117668077
Control,Lingual gyrus,cortical,99,33,ok,True,2.12356767979,0.11074225465,-0.000452707537527,0.00182039857391,-0.248685943845,0.803603722517,-0.00402062317989,0.00311520810484,1.90513892479,-0.118812211444,-1.05522192898,0.817597506091,-0.0712873268667,-0.633133157388,0.490558503654,0.894049603178,n.s.,0.00119546355531,0.00620324625238
Control,Parahippocampal gyrus,cortical,99,33,ok,True,2.74786981225,0.283228106736,0.00462745256427,0.00357962483124,1.29271998671,0.196107922548,-0.00238848318313,0.0116433883117,2.50046956776,0.925316713293,-0.477632708624,2.32826613521,0.555190027976,-0.286579625174,1.39695968113,0.392215845096,n.s.,0.00462102683441,0.0416658526648
Control,Precuneus,cortical,99,33,ok,True,2.79616622808,0.148167837974,-0.00408360362356,0.00168676090698,-2.42097359897,0.0154790014267,-0.00738959425176,-0.000777612995362,2.28496238632,-0.893582241882,-1.61701895959,-0.170145524178,-0.536149345129,-0.970211375752,-0.102087314507,0.0464370042801,*,0.00102574952477,0.0114843376228
Control,Superior frontal,cortical,99,33,ok,True,3.06486059231,0.140431638299,-0.0125339768393,0.00217061638844,-5.77438597905,7.72342086569e-09,-0.0167883067849,-0.00827964689369,2.55521340911,-2.45262818256,-3.28512383755,-1.62013252756,-1.47157690953,-1.97107430253,-0.972079516538,4.63405251941e-08,***,0.00169947876455,0.0100511915695
Control,Accumbens,subcortical,99,33,ok,True,0.000583222209163,4.74710043742e-05,-2.23665727608e-06,8.21637525096e-07,-2.72219465124,0.00648499325021,-3.84703723361e-06,-6.26277318542e-07,0.000335644530303,-3.33188399355,-5.73086476605,-0.932903221041,-1.99913039613,-3.43851885963,-0.559741932625,0.00972748987531,**,2.43494967689e-10,1.13173168507e-09
Control,Amygdala,subcortical,99,33,ok,True,0.00148589583681,0.000133932733768,-6.13177837472e-06,1.50214634443e-06,-4.08201131497,4.46476225328e-05,-9.07593110932e-06,-3.18762564012e-06,0.00106835024242,-2.8697416499,-4.24766375735,-1.49181954244,-1.72184498994,-2.54859825441,-0.895091725463,8.92952450655e-05,***,8.13474700395e-10,9.39204519577e-09
Control,Caudate,subcortical,99,33,ok,True,0.00229772576942,0.000297430950655,-6.54656258975e-07,2.32312275305e-06,-0.281800115003,0.778096782744,-5.20789318661e-06,3.89858066866e-06,0.00226051784848,-0.144802276039,-1.15194331654,0.862338764458,-0.0868813656234,-0.691165989921,0.517403258675,0.778096782744,n.s.,1.94554804412e-09,4.70233123516e-08
Control,Hippocampus,subcortical,99,33,ok,True,0.00380141817851,0.00029704351123,-1.91552370288e-05,2.56522225467e-06,-7.46728163376,8.18684257187e-14,-2.41829802603e-05,-1.41274937973e-05,0.00264406370303,-3.62231004625,-4.57308812573,-2.67153196678,-2.17338602775,-2.74385287544,-1.60291918007,4.91210554312e-13,***,2.37200835758e-09,4.67537907423e-08
Control,Putamen,subcortical,99,33,ok,True,0.00401388324517,0.000367902870994,-1.5886082312e-06,3.45488424518e-06,-0.459815182931,0.645648884243,-8.36005692252e-06,5.18284046011e-06,0.00293257285455,-0.270855714418,-1.42540045319,0.883689024354,-0.162513428651,-0.855240271914,0.530213414612,0.774778661091,n.s.,4.30299258283e-09,7.14940117952e-08
Control,Thalamus,subcortical,99,33,ok,True,0.00685851259629,0.000498606453092,-3.8457288323e-05,5.31781045486e-06,-7.23178997248,4.76668999749e-13,-4.88800052911e-05,-2.80345713549e-05,0.00473708338788,-4.05917367018,-5.15931352819,-2.95903381216,-2.43550420211,-3.09558811692,-1.77542028729,1.43000699925e-12,***,1.0194693757e-08,1.30535451866e-07
Pasient,Caudal anterior cingulate,cortical,201,67,ok,True,2.65760355581,0.13338935425,-0.000857747608151,0.00218470131677,-0.392615503806,0.694603486875,-0.005139683506,0.0034241882897,2.36795895819,-0.181115387406,-1.08527265036,0.723041875552,-0.108669232444,-0.651163590219,0.433825125331,0.694603486875,n.s.,0.00419478225503,0.0205833754017
